,Country,Year,Annual percentage change in coal consumption,"Annual change in coal consumption, measured in terawatt-hours","Per capita primary energy consumption from coal, measured in kilowatt-hours","Primary energy consumption from coal, measured in terawatt-hours","Per capita electricity generation from coal, measured in kilowatt-hours","Electricity generation from coal, measured in terawatt-hours	",Annual percentage change in coal production,"Annual change in coal production, measured in terawatt-hours","Per capita coal production, measured in kilowatt-hours","Coal production, measured in terawatt-hours",Share of electricity generation that comes from coal,Share of primary energy consumption that comes from coal
1377,High-income countries,2012,-4.238,-529.368,10244.802,11961.136,2771.126,3235.379,-1.482,-166.201,9460.702,11045.674,28.681,17.57
1378,Uzbekistan,2012,35.318,3.49,454.079,13.372,333.793,9.83,-2.389,-0.3,416.1,12.254,18.56,2.462
1379,Indonesia,2012,3.249,17.712,2265.253,562.806,411.212,102.166,9.286,224.826,10649.25,2645.824,50.996,28.826
1380,Upper-middle-income countries,2012,1.291,336.893,10935.808,26430.85,1833.557,4431.54,1.524,410.699,11323.018,27366.701,53.415,47.33
1381,Ukraine,2012,2.96,14.282,10930.006,496.81,1769.207,80.417,7.633,32.244,10002.347,454.645,40.435,34.429
1382,North America,2012,-11.345,-672.18,9491.613,5252.812,3148.662,1742.521,-6.712,-450.28,11307.887,6257.967,32.7,16.537
1383,Malaysia,2012,7.514,12.901,6350.039,184.584,1913.26,55.615,1.166,0.214,639.134,18.578,41.48,17.781
1384,India,2012,9.875,349.898,3075.841,3893.338,621.854,787.13,1.749,50.994,2343.385,2966.21,72.092,55.24
1385,Czechia,2012,-4.112,-8.839,19482.4,206.149,4156.389,43.98,-3.478,-8.5,22294.41,235.904,50.221,41.25
1386,United States,2012,-11.596,-634.667,15406.778,4838.404,5224.736,1640.796,-6.951,-430.02,18331.227,5756.809,38.064,19.317
1387,Slovakia,2012,-5.692,-2.417,7394.709,40.042,629.745,3.41,-3.535,-0.262,1322.198,7.16,12.01,21.151
1388,Colombia,2012,20.532,9.294,1184.145,54.56,48.616,2.24,4.672,32.026,15572.279,717.504,3.308,12.129
1389,Russia,2012,4.689,51.272,7949.571,1144.69,1174.793,169.163,6.796,124.541,13591.977,1957.161,15.82,14.134
1390,New Zealand,2012,24.6,4.002,4536.69,20.272,966.776,4.32,-0.777,-0.276,7906.386,35.329,9.763,8.519
1391,Hungary,2012,-3.785,-1.194,3077.084,30.353,642.718,6.34,-2.369,-0.453,1894.012,18.683,18.305,12.085
1392,Germany,2012,2.776,25.283,11560.377,936.074,3422.481,277.127,2.229,12.113,6861.519,555.595,44.064,24.883
1393,Europe,2012,2.327,119.791,7114.888,5267.597,1639.882,1214.108,3.115,136.648,6109.309,4523.104,24.713,16.865
1394,Argentina,2012,-6.495,-0.949,327.365,13.669,63.321,2.644,5.556,0.033,14.947,0.624,1.944,1.447
1395,Asia,2012,2.468,761.584,7355.891,31625.379,1319.448,5672.737,1.738,495.711,6750.32,29021.834,54.481,45.162
1396,North Macedonia,2012,-5.871,-1.01,7803.669,16.187,2328.526,4.83,-10.951,-1.614,6327.379,13.125,77.132,51.6
1397,Turkey,2012,7.722,30.426,5685.611,424.437,911.08,68.013,-4.768,-9.909,2651.104,197.908,28.398,29.694
1398,South Africa,2012,-2.401,-25.272,19446.0,1027.384,4480.477,236.715,2.355,39.212,32263.258,1704.554,91.779,72.214
1399,Africa,2012,-2.511,-28.812,1022.062,1118.487,233.526,255.558,4.027,68.392,1614.589,1766.914,35.37,23.933
1400,Romania,2012,-7.814,-7.46,4350.785,88.005,1132.124,22.9,-4.743,-3.675,3648.777,73.806,38.783,22.395
1401,Greece,2012,3.059,2.809,8780.062,94.659,2885.6,31.11,7.193,6.278,8678.121,93.56,51.034,27.467
1402,United Kingdom,2012,23.877,87.33,7021.774,453.082,2212.961,142.792,-8.231,-11.039,1907.444,123.078,39.242,18.993
1403,Venezuela,2012,2.847,0.068,83.567,2.454,0.0,0.0,-26.829,-5.948,552.522,16.223,0.0,0.242
1404,Vietnam,2012,-7.183,-14.488,2084.833,187.222,236.643,21.251,-9.714,-29.49,3052.049,274.08,18.456,29.896
1405,Philippines,2012,4.637,4.167,967.319,94.036,216.124,21.01,7.121,3.505,542.383,52.726,28.812,26.184
1406,China,2012,1.255,277.846,16195.915,22418.488,2707.829,3748.194,1.181,254.236,15741.369,21789.303,75.151,68.725
1407,Lower-middle-income countries,2012,7.446,371.914,1808.125,5366.81,333.999,991.365,4.14,260.217,2205.279,6545.625,41.501,31.058
1408,Egypt,2012,-11.403,-0.585,52.554,4.542,0.0,0.0,133.333,0.091,1.835,0.159,0.0,0.466
1409,Mexico,2012,-12.877,-22.061,1272.795,149.266,291.906,34.233,-20.77,-22.632,736.18,86.335,11.55,6.95
1410,Hungary,2013,-12.442,-3.777,2702.577,26.577,640.64,6.3,0.327,0.061,1906.086,18.744,20.796,11.163
1411,India,2013,6.108,237.789,3225.321,4131.127,662.04,847.969,0.267,7.906,2322.001,2974.117,73.985,56.635
1412,Uzbekistan,2013,49.334,6.597,667.148,19.969,346.445,10.37,8.982,1.101,446.153,13.355,18.889,3.662
1413,Germany,2013,2.919,27.324,11868.261,963.399,3550.421,288.203,-5.551,-30.839,6464.554,524.756,45.198,24.904
1414,Spain,2013,-26.433,-47.625,2824.324,132.547,885.806,41.571,-28.361,-8.115,436.77,20.498,14.573,8.363
1415,South Korea,2013,1.126,10.555,18836.889,948.357,4339.761,218.488,-13.324,-1.46,188.671,9.499,40.674,29.223
1416,Greece,2013,-14.154,-13.398,7565.868,81.261,2457.986,26.4,-16.364,-15.31,7285.52,78.25,46.193,25.069
1417,Venezuela,2013,-0.346,-0.008,82.103,2.445,0.0,0.0,-35.665,-5.786,350.448,10.437,0.0,0.239
1418,High-income countries,2013,1.503,179.734,10338.869,12140.87,2818.775,3310.07,-0.65,-71.75,9345.127,10973.924,29.315,17.616
1419,Thailand,2013,-1.58,-3.026,2766.698,188.535,518.783,35.352,-1.5,-0.829,798.99,54.447,20.964,13.965
1420,Oceania,2013,-5.328,-30.621,14061.479,544.119,4017.171,155.447,7.356,230.032,86760.727,3357.271,53.087,30.36
1421,Malaysia,2013,-5.132,-9.472,5942.26,175.112,1821.015,53.663,-1.9,-0.353,618.467,18.226,38.063,16.119
1422,Czechia,2013,-4.678,-9.645,18561.75,196.505,3884.181,41.12,-12.355,-29.146,19530.32,206.758,47.229,40.067
1423,Slovakia,2013,-0.6,-0.24,7341.055,39.801,566.241,3.07,2.661,0.191,1355.679,7.35,10.738,20.508
1424,Mexico,2013,-0.696,-1.039,1247.413,148.227,267.09,31.738,-3.516,-3.036,701.012,83.299,10.682,6.873
1425,Ukraine,2013,-3.022,-15.014,10638.729,481.796,1788.812,81.01,-2.237,-10.168,9814.658,444.476,41.677,35.179
1426,Indonesia,2013,-12.263,-69.015,1961.004,493.791,441.816,111.252,22.87,605.087,12910.416,3250.911,51.46,26.224
1427,Argentina,2013,9.292,1.27,354.045,14.939,56.356,2.378,-12.632,-0.079,12.923,0.545,1.705,1.52
1428,Brazil,2013,7.788,13.847,953.296,191.647,110.978,22.311,24.205,8.217,209.739,42.165,3.908,5.547
1429,World,2013,1.49,658.238,6218.734,44842.613,1328.08,9576.638,1.794,816.0,6420.034,46294.16,40.834,30.031
1430,Poland,2013,4.2,25.025,16269.76,620.822,3662.609,139.758,-1.142,-7.678,17421.365,664.765,84.93,54.365
1431,Colombia,2013,7.569,4.13,1262.273,58.69,77.642,3.61,-4.219,-30.27,14780.656,687.234,5.17,12.974
1432,Russia,2013,-8.035,-91.977,7294.019,1052.713,1121.575,161.872,2.871,56.189,13950.073,2013.351,15.284,13.165
1433,New Zealand,2013,-11.812,-2.395,3956.496,17.878,615.246,2.78,-5.1,-1.802,7420.063,33.528,6.427,7.453
1434,North America,2013,3.409,179.049,9722.109,5431.861,3247.242,1814.274,-2.911,-182.173,10874.64,6075.794,33.79,16.692
1435,China,2013,2.136,478.922,16450.666,22897.41,2929.388,4077.367,1.124,244.832,15830.446,22034.135,75.067,67.648
1436,Africa,2013,1.044,11.674,1006.336,1130.161,223.852,251.395,0.289,5.107,1577.872,1772.021,33.723,23.523
1437,Romania,2013,-22.328,-19.65,3395.236,68.356,841.414,16.94,-26.622,-19.649,2689.975,54.157,28.766,18.645
1438,North Macedonia,2013,-16.35,-2.647,6522.13,13.54,1941.172,4.03,-8.536,-1.12,5782.266,12.004,66.13,44.95
1439,United Kingdom,2013,-5.095,-23.085,6616.97,429.997,2004.46,130.258,-24.658,-30.349,1426.958,92.729,36.356,18.088
1440,Chile,2013,12.406,9.689,4996.035,87.788,986.255,17.33,325.281,11.872,883.315,15.521,23.75,20.806
1441,Norway,2013,-5.248,-0.5,1777.311,9.028,7.875,0.04,50.936,5.148,3003.247,15.255,0.03,1.713
1442,Upper-middle-income countries,2013,1.128,298.215,10973.919,26729.064,1949.41,4748.159,0.783,214.193,11323.647,27580.895,54.094,46.775
1443,Pakistan,2013,-20.776,-9.783,195.049,37.305,3.085,0.59,-1.76,-0.28,81.593,15.606,0.584,4.963
1444,Bangladesh,2013,38.443,4.097,96.582,14.754,11.325,1.73,2.395,0.122,34.277,5.236,3.181,4.913
1445,Australia,2013,-5.091,-28.226,22629.279,526.242,6684.498,155.447,7.498,231.834,142926.5,3323.743,62.288,33.9
1446,Iran,2013,27.689,3.618,218.168,16.686,6.001,0.459,0.67,0.056,109.94,8.408,0.177,0.628
1447,Peru,2013,0.854,0.087,343.878,10.239,17.465,0.52,-8.547,-0.237,85.195,2.537,1.2,3.835
1448,Philippines,2013,23.726,22.311,1176.741,116.346,234.344,23.17,-11.652,-6.144,471.144,46.583,30.784,30.235
1449,European Union (27),2013,-1.866,-55.459,6605.277,2916.173,1720.154,759.433,-5.146,-93.927,3921.758,1731.422,26.078,16.746
1450,South America,2013,8.614,29.022,904.581,365.959,158.215,64.008,-1.766,-13.658,1877.426,759.535,5.632,5.133
1451,Italy,2013,-13.862,-25.33,2616.111,157.403,806.591,48.53,-8.75,-0.054,9.44,0.568,16.746,8.469
1452,Vietnam,2013,6.809,12.749,2203.469,199.971,264.712,24.023,-2.421,-6.637,2946.949,267.443,19.303,30.226
1453,United States,2013,3.8,183.867,15873.145,5022.271,5417.006,1713.944,-3.267,-188.096,17600.201,5568.713,39.58,19.521
1454,Japan,2013,4.079,55.239,10984.272,1409.438,2799.737,359.246,2.39,0.19,63.58,8.158,33.026,25.57
1455,Asia,2013,2.051,648.672,7429.249,32274.051,1404.055,6099.479,2.921,847.646,6875.735,29869.48,55.506,44.916
1456,South Africa,2013,0.022,0.228,19140.756,1027.612,4296.904,230.688,-0.889,-15.156,31467.457,1689.397,90.064,71.911
1457,Kazakhstan,2013,-0.996,-4.385,25600.711,435.881,4052.821,69.004,-0.497,-2.983,35093.5,597.506,74.506,59.186
1458,Turkey,2013,-13.511,-57.345,4834.895,367.092,840.114,63.786,-9.201,-18.209,2366.776,179.699,26.56,25.867
1459,Canada,2013,-2.475,-6.073,6780.749,239.337,1943.32,68.592,2.16,8.958,12006.317,423.781,10.461,5.977
1460,Lower-middle-income countries,2013,3.573,191.741,1844.843,5558.551,353.37,1064.713,9.473,620.062,2378.24,7165.688,42.749,31.504
1461,Egypt,2013,-1.204,-0.055,50.757,4.487,0.0,0.0,-85.718,-0.136,0.256,0.023,0.0,0.463
1462,Slovenia,2013,-3.406,-0.547,7524.872,15.525,2360.503,4.87,-9.397,-1.341,6266.623,12.929,30.243,19.194
1463,Europe,2013,-3.457,-182.091,6856.663,5085.505,1595.525,1183.382,-1.579,-71.411,6002.108,4451.692,24.29,16.464
1464,Bulgaria,2013,-14.053,-11.302,9482.127,69.126,2659.774,19.39,-14.67,-9.575,7639.853,55.695,44.286,35.029
1465,Chile,2014,0.877,0.77,4986.652,88.558,862.1,15.31,36.923,5.731,1196.699,21.252,21.378,21.413
1466,Canada,2014,-4.904,-11.738,6381.701,227.599,1856.889,66.225,-0.761,-3.224,11792.086,420.557,10.227,5.669
1467,United States,2014,-0.227,-11.416,15724.109,5010.856,5377.575,1713.69,1.422,79.182,17723.145,5647.896,39.275,19.275
1468,Greece,2014,-3.893,-3.163,7297.883,78.098,2406.214,25.75,-5.114,-4.002,6938.142,74.248,51.016,25.627
1469,Ukraine,2014,-14.124,-68.047,9171.688,413.749,1562.479,70.486,-31.799,-141.341,6719.684,303.135,38.556,34.24
1470,United Kingdom,2014,-19.525,-83.955,5289.302,346.042,1532.164,100.239,-8.581,-7.957,1295.752,84.772,29.648,15.416
1471,China,2014,0.06,13.76,16371.507,22911.17,3003.356,4203.059,-1.604,-353.371,15492.303,21680.764,72.536,65.769
1472,Colombia,2014,5.924,3.477,1323.61,62.167,75.584,3.55,3.94,27.075,15208.501,714.308,4.88,13.086
1473,Brazil,2014,6.326,12.123,1004.961,203.77,134.591,27.29,-0.802,-0.338,206.284,41.827,4.621,5.763
1474,Czechia,2014,-3.088,-6.069,17980.734,190.436,3845.68,40.73,-4.406,-9.109,18661.83,197.649,47.359,39.681
1475,Uzbekistan,2014,-7.977,-1.593,603.964,18.376,346.41,10.54,7.501,1.002,471.836,14.356,19.025,3.259
1476,Germany,2014,-3.893,-37.504,11367.597,925.895,3369.041,274.41,-2.188,-11.48,6301.708,513.276,43.859,24.97
1477,Egypt,2014,0.823,0.037,50.031,4.524,0.0,0.0,-100.0,-0.023,0.0,0.0,0.0,0.473
1478,Turkey,2014,14.452,53.054,5440.235,420.145,987.484,76.263,5.875,10.557,2463.511,190.255,30.267,28.735
1479,Europe,2014,-6.993,-355.625,6366.155,4729.881,1474.646,1095.622,-4.516,-201.051,5721.125,4250.642,22.899,15.789
1480,European Union (27),2014,-4.768,-139.044,6281.801,2777.129,1634.052,722.4,-4.1,-70.984,3755.874,1660.439,25.353,16.53
1481,Bangladesh,2014,-39.994,-5.901,57.297,8.853,11.52,1.78,10.76,0.563,37.533,5.8,3.1,2.832
1482,Thailand,2014,10.255,19.335,3037.321,207.87,548.986,37.572,-1.474,-0.802,783.832,53.644,21.622,14.93
1483,Bulgaria,2014,6.837,4.726,10192.555,73.852,2941.076,21.31,7.093,3.951,8231.96,59.646,44.877,35.042
1484,Upper-middle-income countries,2014,0.307,81.963,10923.612,26811.027,1991.904,4888.95,-1.067,-294.232,11117.4,27286.662,53.007,45.909
1485,Indonesia,2014,5.703,28.16,2045.839,521.951,468.518,119.532,-3.431,-111.532,12305.112,3139.38,52.299,27.372
1486,Vietnam,2014,20.826,41.646,2634.465,241.617,380.191,34.869,0.054,0.143,2917.625,267.587,24.686,33.027
1487,Africa,2014,4.747,53.646,1027.223,1183.806,218.655,251.985,3.371,59.74,1589.472,1831.761,32.722,23.98
1488,North America,2014,-0.4,-21.72,9594.585,5410.141,3216.485,1813.694,1.268,77.028,10911.688,6152.822,33.587,16.492
1489,Asia,2014,1.953,630.219,7497.759,32904.27,1449.4,6360.762,-1.214,-362.568,6723.617,29506.912,54.836,44.492
1490,Russia,2014,-3.276,-34.485,7038.526,1018.227,1097.029,158.702,2.007,40.412,14196.694,2053.763,14.913,12.703
1491,South Korea,2014,3.501,33.2,19395.328,981.557,4326.293,218.945,-3.691,-0.351,180.765,9.148,40.517,29.964
1492,Australia,2014,-0.827,-4.354,22117.264,521.888,6578.503,155.229,7.092,235.707,150846.984,3559.45,62.682,33.39
1493,Argentina,2014,6.375,0.952,372.717,15.892,59.666,2.544,-31.325,-0.171,8.783,0.374,1.836,1.622
1494,Mexico,2014,-0.194,-0.288,1229.186,147.939,280.657,33.778,1.285,1.07,701.004,84.369,11.136,6.89
1495,Slovakia,2014,-1.788,-0.712,7200.407,39.09,528.662,2.87,-3.42,-0.251,1307.606,7.099,10.531,21.573
1496,Malaysia,2014,1.925,3.37,5975.988,178.482,1869.211,55.827,-9.059,-1.651,554.953,16.575,37.859,16.266
1497,High-income countries,2014,-1.956,-237.47,10081.354,11903.4,2758.825,3257.439,2.155,236.435,9494.395,11210.358,28.914,17.349
1498,Slovenia,2014,-21.074,-3.272,5926.547,12.253,1818.632,3.76,-22.471,-2.905,4848.172,10.024,21.563,14.768
1499,Lower-middle-income countries,2014,8.131,451.988,1965.492,6010.539,384.348,1175.347,-1.634,-117.09,2304.946,7048.597,44.112,32.804
1500,South America,2014,4.661,17.058,937.633,383.017,161.12,65.816,4.969,37.738,1951.739,797.273,5.698,5.327
1501,Iran,2014,13.934,2.325,245.412,19.011,6.842,0.53,3.628,0.305,112.481,8.713,0.192,0.685
1502,Italy,2014,-2.513,-3.956,2540.116,153.447,770.722,46.559,17.808,0.101,11.077,0.669,16.638,8.707
1503,Kazakhstan,2014,-1.185,-5.164,24893.168,430.717,3881.532,67.161,-4.827,-28.842,32865.789,568.664,70.962,57.286
1504,South Africa,2014,1.276,13.107,19080.305,1040.72,4157.268,226.755,1.877,31.718,31554.506,1721.115,89.005,71.997
1505,Japan,2014,-1.682,-23.703,10811.814,1385.735,2754.858,353.086,8.631,0.704,69.146,8.862,33.225,25.792
1506,Romania,2014,-1.123,-0.768,3373.329,67.588,886.408,17.76,-4.457,-2.414,2582.515,51.743,28.064,17.763
1507,North Macedonia,2014,-7.471,-1.012,6029.892,12.529,1799.998,3.74,0.663,0.08,5815.771,12.084,69.598,44.803
1508,New Zealand,2014,-7.65,-1.368,3614.625,16.51,501.366,2.29,-14.408,-4.831,6282.836,28.697,5.206,6.584
1509,Poland,2014,-7.373,-45.774,15096.668,575.049,3453.589,131.551,-5.47,-36.363,16497.363,628.403,82.706,52.232
1510,Oceania,2014,-1.051,-5.721,13707.154,538.398,3952.0,155.229,6.877,230.876,91351.117,3588.147,53.227,29.684
1511,Spain,2014,2.123,2.814,2893.706,135.362,968.299,45.295,-7.637,-1.565,404.73,18.932,16.249,8.702
1512,Hungary,2014,-1.151,-0.306,2679.357,26.271,610.913,5.99,-1.475,-0.276,1883.522,18.468,20.372,11.023
1513,Pakistan,2014,47.425,17.692,281.597,54.997,2.765,0.54,13.26,2.069,90.498,17.675,0.508,7.088
1514,Venezuela,2014,-6.25,-0.153,76.301,2.292,0.0,0.0,-34.871,-3.639,226.254,6.797,0.0,0.233
1515,World,2014,0.71,318.594,6190.197,45161.207,1336.744,9752.35,-0.342,-158.48,6323.767,46135.68,40.551,29.912
1516,Peru,2014,-1.245,-0.127,336.025,10.111,18.943,0.57,2.572,0.065,86.467,2.602,1.251,3.694
1517,India,2014,9.993,412.806,3507.201,4543.933,733.197,949.931,5.367,159.607,2418.742,3133.724,75.259,58.257
1518,Norway,2014,9.538,0.861,1923.059,9.889,7.779,0.04,-9.703,-1.48,2678.704,13.775,0.028,1.823
1519,Philippines,2014,6.394,7.439,1231.531,123.785,239.372,24.06,16.882,7.864,541.688,54.447,31.141,30.596
1520,Philippines,2015,9.141,11.316,1323.047,135.101,265.392,27.1,-2.922,-1.591,517.62,52.856,32.883,30.466
1521,Vietnam,2015,26.284,63.506,3292.328,305.123,568.764,52.711,1.407,3.764,2927.919,271.351,33.372,36.661
1522,Bulgaria,2015,3.229,2.385,10588.79,76.237,3129.28,22.53,14.404,8.591,9477.748,68.237,45.767,34.021
1523,Canada,2015,0.598,1.36,6355.269,228.959,1724.23,62.118,-9.877,-41.54,10520.463,379.017,9.421,5.666
1524,Slovenia,2015,1.057,0.13,5978.486,12.383,2114.717,4.38,5.427,0.544,5102.116,10.567,29.007,16.548
1525,Lower-middle-income countries,2015,2.184,131.275,1979.208,6141.813,399.887,1240.916,0.602,42.456,2285.102,7091.053,44.893,32.954
1526,South Africa,2015,-6.172,-64.232,17630.473,976.488,4056.032,224.649,-3.738,-64.341,29913.016,1656.773,89.72,68.995
1527,Upper-middle-income countries,2015,-1.773,-475.312,10650.197,26335.715,1913.019,4730.497,-1.635,-446.234,10854.304,26840.428,50.991,44.777
1528,Pakistan,2015,-1.335,-0.734,272.093,54.263,2.858,0.57,-1.7,-0.3,87.121,17.374,0.516,6.651
1529,Czechia,2015,-0.302,-0.575,17909.082,189.861,3880.623,41.14,-0.452,-0.894,18559.375,196.755,49.041,40.336
1530,World,2015,-2.451,-1106.766,5969.349,44054.441,1274.581,9406.546,-2.555,-1178.656,6091.648,44957.023,38.723,28.934
1531,Turkey,2015,-3.837,-16.119,5144.901,404.026,969.899,76.166,-21.791,-41.458,1894.801,148.798,29.095,25.194
1532,Kazakhstan,2015,-7.55,-32.517,22661.014,398.2,3605.324,63.353,-5.548,-31.549,30566.533,537.115,69.128,55.819
1533,United States,2015,-13.606,-681.778,13491.338,4329.078,4575.864,1468.296,-11.533,-651.388,15571.347,4996.507,33.764,16.814
1534,North Macedonia,2015,-9.835,-1.232,5432.757,11.297,1587.046,3.3,-11.155,-1.348,5163.168,10.736,58.447,38.315
1535,Oceania,2015,3.471,18.686,13976.491,557.085,4069.439,162.202,-0.244,-8.738,89802.469,3579.409,54.308,30.084
1536,Slovakia,2015,-3.599,-1.407,6932.567,37.683,520.64,2.83,-14.506,-1.03,1116.525,6.069,10.408,20.595
1537,Romania,2015,3.702,2.502,3517.638,70.09,909.904,18.13,5.908,3.057,2750.292,54.8,27.347,18.326
1538,Norway,2015,-10.377,-1.026,1704.429,8.863,7.693,0.04,-33.97,-4.679,1749.166,9.095,0.028,1.618
1539,Africa,2015,-5.471,-64.768,946.382,1119.038,212.433,251.189,-3.972,-72.749,1487.614,1759.012,31.778,22.146
1540,China,2015,-1.894,-433.965,15976.998,22477.205,2876.052,4046.168,-1.876,-406.805,15121.72,21273.959,69.587,63.705
1541,North America,2015,-12.609,-682.178,8310.546,4727.963,2749.422,1564.177,-11.334,-697.384,9589.259,5455.438,28.932,14.51
1542,New Zealand,2015,0.991,0.164,3613.258,16.673,483.257,2.23,-17.391,-4.991,5137.299,23.706,4.99,6.611
1543,Chile,2015,-3.956,-3.503,4733.327,85.055,891.518,16.02,-20.653,-4.389,938.431,16.863,21.492,20.086
1544,Poland,2015,-1.565,-9.001,14882.634,566.047,3495.865,132.962,-1.962,-12.326,16198.006,616.076,80.61,50.889
1545,Russia,2015,5.218,53.128,7389.421,1071.356,1093.573,158.552,5.52,113.372,14947.294,2167.134,14.852,13.596
1546,Colombia,2015,-7.057,-4.387,1215.891,57.78,104.586,4.97,-3.29,-23.503,14536.937,690.805,6.625,12.027
1547,Brazil,2015,0.594,1.211,1002.491,204.981,134.021,27.404,-19.19,-8.026,165.306,33.8,4.715,5.952
1548,Ukraine,2015,-23.139,-95.738,7079.232,318.011,1258.429,56.531,-34.224,-103.745,4438.624,199.39,34.537,31.693
1549,Argentina,2015,-0.488,-0.078,367.127,15.814,55.414,2.387,-40.351,-0.151,5.186,0.223,1.641,1.587
1550,Mexico,2015,-0.195,-0.288,1211.657,147.65,277.072,33.764,-5.282,-4.456,655.786,79.913,10.879,6.886
1551,United Kingdom,2015,-22.451,-77.69,4074.584,268.353,1152.111,75.878,-26.135,-22.155,950.757,62.617,22.391,11.786
1552,Malaysia,2015,13.342,23.814,6682.853,202.296,2096.861,63.474,-1.158,-0.192,541.197,16.383,42.281,18.154
1553,Asia,2015,-0.802,-263.838,7364.196,32640.432,1417.161,6281.3,-1.065,-314.369,6586.298,29192.543,53.39,43.277
1554,High-income countries,2015,-6.446,-767.239,9382.234,11136.161,2528.91,3001.668,-6.84,-766.749,8798.758,10443.609,26.473,16.133
1555,Peru,2015,-6.794,-0.687,309.286,9.424,16.081,0.49,37.08,0.965,117.05,3.567,1.015,3.286
1556,Germany,2015,-1.171,-10.839,11188.223,915.056,3328.138,272.2,-2.994,-15.367,6087.849,497.909,42.132,24.218
1557,Uzbekistan,2015,-19.544,-3.592,478.019,14.785,335.925,10.39,-20.671,-2.968,368.216,11.389,18.139,2.748
1558,Venezuela,2015,-33.333,-0.764,50.801,1.528,0.0,0.0,0.132,0.009,226.26,6.806,0.0,0.158
1559,Australia,2015,3.549,18.523,22580.643,540.411,6777.5,162.202,-0.105,-3.747,148572.141,3555.703,63.863,33.785
1560,European Union (27),2015,-0.211,-5.873,6259.96,2771.257,1654.572,732.471,-3.036,-50.407,3636.884,1610.032,25.276,16.285
1561,Bangladesh,2015,197.65,17.499,168.647,26.352,9.984,1.56,-28.617,-1.66,26.494,4.14,2.523,7.249
1562,Hungary,2015,3.635,0.955,2784.444,27.226,592.15,5.79,-4.387,-0.81,1805.868,17.658,19.071,10.843
1563,Greece,2015,-16.207,-12.657,6139.063,65.441,2074.16,22.11,-11.105,-8.245,6191.833,66.003,42.623,21.226
1564,South America,2015,-2.127,-8.145,909.084,374.872,159.826,65.906,-4.917,-39.203,1838.36,758.071,5.689,5.256
1565,Japan,2015,0.884,12.245,10922.994,1397.981,2708.805,346.687,-10.455,-0.927,62.005,7.936,33.655,26.394
1566,India,2015,1.195,54.312,3509.703,4598.245,768.273,1006.555,4.288,134.379,2494.445,3268.103,76.133,57.262
1567,Thailand,2015,-1.826,-3.797,2969.878,204.074,503.272,34.582,-16.344,-8.768,653.09,44.877,19.447,14.337
1568,Indonesia,2015,13.959,72.86,2302.05,594.811,482.452,124.657,0.757,23.776,12242.108,3163.156,53.277,30.576
1569,Europe,2015,-2.318,-109.631,6208.158,4620.25,1441.179,1072.557,-1.11,-47.182,5648.123,4203.459,22.246,15.47
1570,Italy,2015,-6.551,-10.052,2367.102,143.395,749.788,45.421,-5.814,-0.039,10.404,0.63,16.05,7.918
1571,Spain,2015,17.591,23.811,3410.466,159.173,1128.644,52.676,-23.467,-4.443,310.456,14.49,18.745,10.106
1572,Iran,2015,-4.521,-0.86,231.252,18.152,5.886,0.462,13.572,1.183,126.077,9.896,0.165,0.658
1573,South Korea,2015,1.188,11.659,19542.615,993.216,4457.225,226.53,0.915,0.084,181.648,9.232,41.353,29.802
1574,Brazil,2016,-9.675,-19.831,898.074,185.15,126.737,26.129,-7.848,-2.653,151.083,31.148,4.513,5.499
1575,Colombia,2016,9.981,5.767,1319.086,63.547,111.884,5.39,5.446,37.62,15120.378,728.425,7.24,12.596
1576,Australia,2016,-0.065,-0.349,22258.941,540.062,6691.606,162.357,0.207,7.353,146853.156,3563.056,62.876,33.629
1577,Venezuela,2016,12.222,0.187,57.451,1.715,0.0,0.0,-6.545,-0.445,213.085,6.361,0.0,0.203
1578,South Korea,2016,-4.569,-45.379,18591.07,947.837,4459.85,227.379,-2.154,-0.199,177.176,9.033,40.532,27.638
1579,Africa,2016,6.01,67.25,977.946,1186.288,204.722,248.336,-0.156,-2.749,1447.819,1756.263,31.037,22.875
1580,China,2016,-0.905,-203.357,15751.817,22273.848,2939.324,4156.35,-7.534,-1602.727,13911.276,19671.232,67.768,62.085
1581,Germany,2016,-2.745,-25.121,10827.279,889.935,3184.488,261.745,-7.418,-36.937,5608.359,460.972,40.378,23.172
1582,New Zealand,2016,-17.257,-2.877,2961.011,13.796,379.888,1.77,-16.135,-3.825,4267.007,19.881,4.008,5.416
1583,Romania,2016,-11.001,-7.711,3151.045,62.379,802.171,15.88,-10.113,-5.542,2488.251,49.258,24.392,16.305
1584,North America,2016,-8.188,-387.104,7564.918,4340.859,2514.576,1442.9,-16.876,-920.658,7902.867,4534.779,26.623,13.347
1585,Norway,2016,2.68,0.237,1733.064,9.1,7.618,0.04,-26.04,-2.368,1281.091,6.727,0.027,1.64
1586,United Kingdom,2016,-51.969,-139.459,1944.154,128.893,462.587,30.669,-46.691,-29.236,503.496,33.381,9.042,5.721
1587,United States,2016,-8.508,-368.337,12261.749,3960.741,4167.562,1346.189,-18.271,-912.933,12642.02,4083.574,30.962,15.398
1588,High-income countries,2016,-6.008,-669.015,8774.306,10467.146,2330.558,2780.196,-9.318,-973.183,7938.784,9470.427,24.368,15.099
1589,Spain,2016,-23.31,-37.103,2617.613,122.07,801.604,37.382,-44.952,-6.513,171.038,7.976,13.612,7.677
1590,Philippines,2016,12.668,17.115,1468.359,152.216,313.031,32.45,47.889,25.312,754.054,78.168,35.739,31.42
